Description,Given Category,Given Sub-Category,Category,Sub_Category
"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Appliances,,
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,,
Newell 312,Office Supplies,Art,,
Newell 312,Office Supplies,Art,,
Acme Stainless Steel Office Snips,Office Supplies,Supplies,,
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,,
Dax Clear Box Frame,Furniture,Furnishings,,
"White Envelopes, White Envelopes with Clear Poly Window",Office Supplies,Envelopes,,
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners,,
Xerox 1991,Office Supplies,Paper,,
Xerox 1937,Office Supplies,Paper,,
Security-Tint Envelopes,Office Supplies,Envelopes,,
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,,
Panasonic Kx-TS550,Technology,Phones,,
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,,
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,,
Xerox 219,Office Supplies,Paper,,
24-Hour Round Wall Clock,Furniture,Furnishings,,
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
Newell 312,Office Supplies,Art,,
Things To Do Today Pad,Office Supplies,Paper,,
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,,
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,,
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,,
Polycom VoiceStation 500 Conference phone,Technology,Phones,,
Eldon Radial Chair Mat for Low to Medium Pile Carpets,Furniture,Furnishings,,
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,,
Vinyl Sectional Post Binders,Office Supplies,Binders,,
"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,,
Staple remover,Office Supplies,Supplies,,
Xerox 1888,Office Supplies,Paper,,
Fellowes Super Stor/Drawer Files,Office Supplies,Storage,,
"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",Furniture,Furnishings,,
"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,,
Eldon Simplefile Box Office,Office Supplies,Storage,,
Newell 312,Office Supplies,Art,,
Portable Personal File Box,Office Supplies,Storage,,
"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings,,
Avery 473,Office Supplies,Labels,,
Westinghouse Clip-On Gooseneck Lamps,Furniture,Furnishings,,
Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Newell 313,Office Supplies,Art,,
Newell 313,Office Supplies,Art,,
Newell 313,Office Supplies,Art,,
Canon PC-428 Personal Copier,Technology,Copiers,,
#10 Self-Seal White Envelopes,Office Supplies,Envelopes,,
Storex Flexible Poly Binders with Double Pockets,Office Supplies,Binders,,
Westinghouse Clip-On Gooseneck Lamps,Furniture,Furnishings,,
Ibico Presentation Index for Binding Systems,Office Supplies,Binders,,
Konica Minolta magicolor 1690MF Multifunction Printer,Technology,Machines,Electronics,Electronics_misc
Aluminum Document Frame,Furniture,Furnishings,,
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Paper,,
Luxo Economy Swing Arm Lamp,Furniture,Furnishings,,
Xerox 1917,Office Supplies,Paper,,
Martin-Yale Premier Letter Opener,Office Supplies,Supplies,,
Xerox 1891,Office Supplies,Paper,,
Xerox 1942,Office Supplies,Paper,,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,,
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,,
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners,,
Eldon Portable Mobile Manager,Office Supplies,Storage,,
Newell 314,Office Supplies,Art,,
"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Office Supplies,Appliances,,
Xerox 1897,Office Supplies,Paper,,
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,,
SanDisk Cruzer 16 GB USB Flash Drive,Technology,Accessories,,
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,,
Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,,
Avery 480,Office Supplies,Labels,,
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,,
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,Labels,,
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,,
Logitech Media Keyboard K200,Technology,Accessories,,
Avery Durable Poly Binders,Office Supplies,Binders,,
"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Furniture,Furnishings,,
Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,,
Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,,
ClearOne Communications CHAT 70 OC Speaker Phone,Technology,Phones,,
Polycom SoundPoint Pro SE-225 Corded phone,Technology,Phones,,
"Seth Thomas 12"" Clock w/ Goldtone Case",Furniture,Furnishings,,
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Furniture,Furnishings,,
GBC Wire Binding Combs,Office Supplies,Binders,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Imation 30456 USB Flash Drive 8GB,Technology,Accessories,,
Staple magnet,Office Supplies,Storage,,
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,,
Acco Hot Clips Clips to Go,Office Supplies,Fasteners,,
Jabra Supreme Plus Driver Edition Headset,Technology,Phones,,
"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings,,
Westinghouse Clip-On Gooseneck Lamps,Furniture,Furnishings,,
Fellowes Black Plastic Comb Bindings,Office Supplies,Binders,,
Revere Boxed Rubber Bands by Revere,Office Supplies,Fasteners,,
Panasonic KX TS208W Corded phone,Technology,Phones,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,,
Tensor Computer Mounted Lamp,Furniture,Furnishings,,
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Xerox 1888,Office Supplies,Paper,,
Xerox 1954,Office Supplies,Paper,,
GBC Plastic Binding Combs,Office Supplies,Binders,,
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings,,
"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,,
"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,,
Telescoping Adjustable Floor Lamp,Furniture,Furnishings,,
Newell 314,Office Supplies,Art,,
Safco Commercial Shelving,Office Supplies,Storage,,
Xerox 1927,Office Supplies,Paper,,
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,,
Holmes HEPA Air Purifier,Office Supplies,Appliances,,
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,,
Avery 519,Office Supplies,Labels,,
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",Furniture,Furnishings,,
GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,,
"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,,
Newell 314,Office Supplies,Art,,
Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,Accessories,,
Avery Round Ring Poly Binders,Office Supplies,Binders,,
Xerox 224,Office Supplies,Paper,,
Longer-Life Soft White Bulbs,Furniture,Furnishings,,
Aastra 6757i CT Wireless VoIP phone,Technology,Phones,,
VTech DS6151,Technology,Phones,,
DAX Wood Document Frame,Furniture,Furnishings,,
Newell 314,Office Supplies,Art,,
Xerox 1894,Office Supplies,Paper,,
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,,
Xerox 19,Office Supplies,Paper,,
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,,
Newell 314,Office Supplies,Art,,
Avery 493,Office Supplies,Labels,,
Ibico Standard Transparent Covers,Office Supplies,Binders,,
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,,
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,,
"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,,
Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,,
SanDisk Cruzer 4 GB USB Flash Drive,Technology,Accessories,,
Xerox 1880,Office Supplies,Paper,,
Tops Wirebound Message Log Books,Office Supplies,Paper,,
Memorex Froggy Flash Drive 8 GB,Technology,Accessories,,
Coloredge Poster Frame,Furniture,Furnishings,,
Magna Visual Magnetic Picture Hangers,Furniture,Furnishings,,
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,,
Recycled Easel Ring Binders,Office Supplies,Binders,,
Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,,
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Avery 483,Office Supplies,Labels,,
Newell 314,Office Supplies,Art,,
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,,
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,,
Recycled Steel Personal File for Standard File Folders,Office Supplies,Storage,,
GBC ProClick Punch Binding System,Office Supplies,Binders,,
Avery Hole Reinforcements,Office Supplies,Binders,,
"Elite 5"" Scissors",Office Supplies,Supplies,,
"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,,
Xerox 1898,Office Supplies,Paper,,
Lexmark 20R1285 X6650 Wireless All-in-One Printer,Technology,Machines,Electronics,Electronics_misc
ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,,
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,,
AmazonBasics 3-Button USB Wired Mouse,Technology,Accessories,,
GBC Instant Report Kit,Office Supplies,Binders,,
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,,
Insertable Tab Indexes For Data Binders,Office Supplies,Binders,,
GBC Linen Binding Covers,Office Supplies,Binders,,
Panasonic KX-TG9471B,Technology,Phones,,
Surelock Post Binders,Office Supplies,Binders,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Office Supplies,Binders,,
Avery 487,Office Supplies,Labels,,
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,,
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Office Supplies,Envelopes,,
Newell 314,Office Supplies,Art,,
Newell 315,Office Supplies,Art,,
Maxell 4.7GB DVD-R,Technology,Accessories,,
Panasonic KX T7736-B Digital phone,Technology,Phones,,
Things To Do Today Spiral Book,Office Supplies,Paper,,
Cardinal Holdit Business Card Pockets,Office Supplies,Binders,,
Kleencut Forged Office Shears by Acme United Corporation,Office Supplies,Supplies,,
Plantronics HL10 Handset Lifter,Technology,Phones,,
"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,,
Avery File Folder Labels,Office Supplies,Labels,,
Toshiba IPT2010-SD IP Telephone,Technology,Phones,,
Newell 315,Office Supplies,Art,,
Staple-on labels,Office Supplies,Labels,,
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,,
Holmes Odor Grabber,Office Supplies,Appliances,,
Eldon Wave Desk Accessories,Furniture,Furnishings,,
Artistic Insta-Plaque,Furniture,Furnishings,,
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,Binders,,
Acme Stainless Steel Office Snips,Office Supplies,Supplies,,
Xerox 1934,Office Supplies,Paper,,
Newell 315,Office Supplies,Art,,
Longer-Life Soft White Bulbs,Furniture,Furnishings,,
Newell 315,Office Supplies,Art,,
Logitech Keyboard K120,Technology,Accessories,,
Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,,
Telescoping Adjustable Floor Lamp,Furniture,Furnishings,,
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,,
Xerox 1932,Office Supplies,Paper,,
Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,,
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Office Supplies,Paper,,
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,,
3-ring staple pack,Office Supplies,Binders,,
GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,,
Xerox 23,Office Supplies,Paper,,
"Stacking Tray, Side-Loading, Legal, Smoke",Furniture,Furnishings,,
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,,
Newell 315,Office Supplies,Art,,
Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,,
Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,,
Cisco SPA508G,Technology,Phones,,
9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,,
Xerox 1887,Office Supplies,Paper,,
Xerox 1971,Office Supplies,Paper,,
"Personal Folder Holder, Ebony",Office Supplies,Storage,,
Quality Park Security Envelopes,Office Supplies,Envelopes,,
Xerox 1917,Office Supplies,Paper,,
Cisco SPA 502G IP Phone,Technology,Phones,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Sharp AL-1530CS Digital Copier,Technology,Copiers,,
Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,,
Xerox 1920,Office Supplies,Paper,,
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,,
Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,,
Tripp Lite TLP810NET Broadband Surge for Modem/Fax,Office Supplies,Appliances,,
Sensible Storage WireTech Storage Systems,Office Supplies,Storage,,
Wilson Jones Impact Binders,Office Supplies,Binders,,
Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,,
Razer Kraken PRO Over Ear PC and Music Headset,Technology,Accessories,,
GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,,
Lexmark 20R1285 X6650 Wireless All-in-One Printer,Technology,Machines,Electronics,Electronics_misc
DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings,,
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furniture,Furnishings,,
Acco 3-Hole Punch,Office Supplies,Binders,,
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage,,
Newell 315,Office Supplies,Art,,
Binder Posts,Office Supplies,Binders,,
Belkin 8 Outlet Surge Protector,Office Supplies,Appliances,,
Portable Personal File Box,Office Supplies,Storage,,
X-Rack File for Hanging Folders,Office Supplies,Storage,,
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,,
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,Binders,,
Xerox 1951,Office Supplies,Paper,,
Avery Hole Reinforcements,Office Supplies,Binders,,
"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,Binders,,
Xerox 1924,Office Supplies,Paper,,
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,,
Electrix Halogen Magnifier Lamp,Furniture,Furnishings,,
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",Office Supplies,Binders,,
Carina Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Rubber Band Ball,Office Supplies,Fasteners,,
Avery Non-Stick Binders,Office Supplies,Binders,,
Acco 3-Hole Punch,Office Supplies,Binders,,
Plantronics 81402,Technology,Phones,,
Newell 316,Office Supplies,Art,,
Newell 316,Office Supplies,Art,,
Newell 317,Office Supplies,Art,,
Advantus Panel Wall Acrylic Frame,Furniture,Furnishings,,
Newell 317,Office Supplies,Art,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Nu-Dell Float Frame 11 x 14 1/2,Furniture,Furnishings,,
Woodgrain Magazine Files by Perma,Office Supplies,Storage,,
"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,,
Binding Machine Supplies,Office Supplies,Binders,,
"Stacking Tray, Side-Loading, Legal, Smoke",Furniture,Furnishings,,
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,,
Newell 317,Office Supplies,Art,,
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,,
Jawbone JAMBOX Wireless Bluetooth Speaker,Technology,Phones,,
Canvas Sectional Post Binders,Office Supplies,Binders,,
Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,,
Mophie Juice Pack Helium for iPhone,Technology,Phones,,
Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,,
GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,,
Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,,
Avery File Folder Labels,Office Supplies,Labels,,
Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,Technology,Phones,,
Xerox 1919,Office Supplies,Paper,,
OIC Thumb-Tacks,Office Supplies,Fasteners,,
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,,
Tennsco Commercial Shelving,Office Supplies,Storage,,
Storex Dura Pro Binders,Office Supplies,Binders,,
Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Technology,Accessories,,
Advantus Rolling Drawer Organizers,Office Supplies,Storage,,
Newell 317,Office Supplies,Art,,
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,Binders,,
Letter or Legal Size Expandable Poly String Tie Envelopes,Office Supplies,Envelopes,,
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,,
Logitech diNovo Edge Keyboard,Technology,Accessories,,
Super Decoflex Portable Personal File,Office Supplies,Storage,,
"Green Canvas Binder for 8-1/2"" x 14"" Sheets",Office Supplies,Binders,,
Newell 317,Office Supplies,Art,,
Xerox 1929,Office Supplies,Paper,,
"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,,
Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories,,
Tennsco Single-Tier Lockers,Office Supplies,Storage,,
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,,
Newell 317,Office Supplies,Art,,
Computer Printout Paper with Letter-Trim Perforations,Office Supplies,Paper,,
Newell 317,Office Supplies,Art,,
SAFCO Boltless Steel Shelving,Office Supplies,Storage,,
Xerox 1911,Office Supplies,Paper,,
Staple envelope,Office Supplies,Envelopes,,
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,,
DAX Cubicle Frames - 8x10,Furniture,Furnishings,,
Xerox 1897,Office Supplies,Paper,,
GBC Imprintable Covers,Office Supplies,Binders,,
Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,,
Fiskars Spring-Action Scissors,Office Supplies,Supplies,,
3M Organizer Strips,Office Supplies,Binders,,
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,,
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings,,
Avery Metallic Poly Binders,Office Supplies,Binders,,
Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,,
Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders,,
PNY Rapid USB Car Charger - Black,Technology,Phones,,
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,,
Xerox 1931,Office Supplies,Paper,,
iHome FM Clock Radio with Lightning Dock,Technology,Phones,,
Ibico Presentation Index for Binding Systems,Office Supplies,Binders,,
Avery Durable Slant Ring Binders With Label Holder,Office Supplies,Binders,,
Newell 318,Office Supplies,Art,,
Avery Hole Reinforcements,Office Supplies,Binders,,
Newell 318,Office Supplies,Art,,
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,,
"Electrix Incandescent Magnifying Lamp, Black",Furniture,Furnishings,,
GE 30522EE2,Technology,Phones,,
Binder Posts,Office Supplies,Binders,,
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,,
Assorted Color Push Pins,Office Supplies,Fasteners,,
Xerox 1915,Office Supplies,Paper,,
AT&T 17929 Lendline Telephone,Technology,Phones,,
Newell 318,Office Supplies,Art,,
3M Hangers With Command Adhesive,Furniture,Furnishings,,
Xerox 214,Office Supplies,Paper,,
"Seth Thomas 14"" Day/Date Wall Clock",Furniture,Furnishings,,
Newell 318,Office Supplies,Art,,
Easy-staple paper,Office Supplies,Paper,,
Newell 318,Office Supplies,Art,,
"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,,
Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,,
Staples,Office Supplies,Fasteners,,
"SmartStand Mobile Device Holder, Assorted Colors",Technology,Phones,,
Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,,
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,,
9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,,
Newell 319,Office Supplies,Art,,
"Dana Fluorescent Magnifying Lamp, White, 36""",Furniture,Furnishings,,
Flat Face Poster Frame,Furniture,Furnishings,,
Newell 319,Office Supplies,Art,,
Tennsco Single-Tier Lockers,Office Supplies,Storage,,
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,,
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,,
Advantus Push Pins,Office Supplies,Fasteners,,
Avery 519,Office Supplies,Labels,,
Premium Transparent Presentation Covers by GBC,Office Supplies,Binders,,
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Furniture,Furnishings,,
Newell 319,Office Supplies,Art,,
Xerox 1995,Office Supplies,Paper,,
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,Office Supplies,Appliances,,
Plantronics MX500i Earset,Technology,Phones,,
Newell 319,Office Supplies,Art,,
Xerox 1909,Office Supplies,Paper,,
"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings,,
GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders,,
Staples,Office Supplies,Fasteners,,
Grandstream GXP2100 Mainstream Business Phone,Technology,Phones,,
Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,,
Ultra Door Pull Handle,Furniture,Furnishings,,
Newell 319,Office Supplies,Art,,
"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,,
GBC Instant Report Kit,Office Supplies,Binders,,
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Technology,Phones,,
Plantronics MX500i Earset,Technology,Phones,,
"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Office Supplies,Paper,,
Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,,
Hand-Finished Solid Wood Document Frame,Furniture,Furnishings,,
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Furniture,Furnishings,,
Embossed Ink Jet Note Cards,Office Supplies,Paper,,
Longer-Life Soft White Bulbs,Furniture,Furnishings,,
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,,
"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Office Supplies,Paper,,
Enermax Acrylux Wireless Keyboard,Technology,Accessories,,
Pressboard Data Binders by Wilson Jones,Office Supplies,Binders,,
Avery Durable Slant Ring Binders With Label Holder,Office Supplies,Binders,,
Digium D40 VoIP phone,Technology,Phones,,
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,,
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,,
Kingston Digital DataTraveler 8GB USB 2.0,Technology,Accessories,,
Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels,,
Eldon Portable Mobile Manager,Office Supplies,Storage,,
Assorted Color Push Pins,Office Supplies,Fasteners,,
Avery 514,Office Supplies,Labels,,
Xerox 226,Office Supplies,Paper,,
Ultra Door Push Plate,Furniture,Furnishings,,
Wilson Jones Impact Binders,Office Supplies,Binders,,
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,,
Aastra 6757i CT Wireless VoIP phone,Technology,Phones,,
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,,
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,,
Avery 507,Office Supplies,Labels,,
DAX Cubicle Frames - 8x10,Furniture,Furnishings,,
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,Binders,,
Euro Pro Shark Stick Mini Vacuum,Office Supplies,Appliances,,
Heavy-Duty E-Z-D Binders,Office Supplies,Binders,,
AT&T 1080 Phone,Technology,Phones,,
Easy-staple paper,Office Supplies,Paper,,
Logitech G600 MMO Gaming Mouse,Technology,Accessories,,
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,Supplies,,
Xerox 1911,Office Supplies,Paper,,
Astroparche Fine Business Paper,Office Supplies,Paper,,
Maxell 4.7GB DVD-RW 3/Pack,Technology,Accessories,,
Letter Size Cart,Office Supplies,Storage,,
Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,Electronics,Electronics_misc
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Office Supplies,Storage,,
GBC Wire Binding Strips,Office Supplies,Binders,,
Samsung Galaxy Note 3,Technology,Phones,,
Angle-D Ring Binders,Office Supplies,Binders,,
Staple-based wall hangings,Furniture,Furnishings,,
Vinyl Sectional Post Binders,Office Supplies,Binders,,
Letter Size File,Office Supplies,Storage,,
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Technology,Phones,,
Advantus Panel Wall Acrylic Frame,Furniture,Furnishings,,
Samsung Galaxy S4,Technology,Phones,,
Flat Face Poster Frame,Furniture,Furnishings,,
Logitech P710e Mobile Speakerphone,Technology,Accessories,,
Acme Box Cutter Scissors,Office Supplies,Supplies,,
Premier Electric Letter Opener,Office Supplies,Supplies,,
SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,,
Logitech P710e Mobile Speakerphone,Technology,Accessories,,
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,,
GBC Poly Designer Binding Covers,Office Supplies,Binders,,
Nortel Meridian M3904 Professional Digital phone,Technology,Phones,,
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,,
"Master Big Foot Doorstop, Beige",Furniture,Furnishings,,
Logitech Wireless Performance Mouse MX for PC and Mac,Technology,Accessories,,
Newell 319,Office Supplies,Art,,
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,,
Clear Mylar Reinforcing Strips,Office Supplies,Binders,,
DAX Cubicle Frames - 8x10,Furniture,Furnishings,,
Fellowes Advanced Computer Series Surge Protectors,Office Supplies,Appliances,,
