Description,Category,Sub_Category,ProductBrand,Description2
Indian Terrain Boys Yellow Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Yellow checked casual shirt, has a slim collar, long sleeves, button placket, and straight hem"
ROMEE Grey & Red Floral 144 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,Home,Decor,ROMEE,Set content: 1 Queen bedsheet with 2 pillow coversQuality: RegularThread count: 144Colour: Grey and RedPattern: Floral
Indian Terrain Men Beige Urban Comfort Fit Self-Design Smart Casual Trousers,Clothes,Clothes,Indian Terrain,"Beige self-design low-rise smart-casual trousers, button closure, and 4 pockets"
Just Wow Women Black Solid Wide Leg Palazzos,,,Just Wow,"A pair of Black solid woven wide leg fit Palazzos, opaque, and drawstring closure"
Indian Terrain Men Olive Green & Off-White Brooklyn Slim Fit Striped Regular Trousers,Clothes,Clothes,Indian Terrain,"Olive Green and Off-white striped low-rise trousers, button closure, and 5 pockets"
Chkokko Men Teal Blue Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Teal blue solid T-shirt, has a polo collar, short sleeves, and one pocket"
Indian Terrain Men Olive Green & Black Slim Fit Checked Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Olive green and black checked smart-casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Roadster Women Pack of Two Pink & White Colourblocked Round Neck T-shirts,Clothes,Clothes,Roadster,"Pack of two TshirtsWhite & pink striped T-shirt, has a round neck, and short sleevesPink and white colourblocked T-shirt, has a round neck, and short sleeves"
Indian Terrain Men Navy Blue & Maroon Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Navy Blue and Maroon striped T-shirt, has a polo collar, short sleeves"
KLEIO Women Green Solid Sling Bag,Clothes,Bags_Accessories,KLEIO,"Green solid sling bag, has a button closure3 main compartments, 3 inner pocketsWith a non-detachable sling strapWarranty: 3 monthsWarranty provided by brand/manufacturer"
Indian Terrain Men Navy Blue Urban Comfort Fit Self Design Regular Trousers,Clothes,Clothes,Indian Terrain,"Navy Blue self-design low-rise trousers, button closure, and 4 pockets"
KazarMax Women Pink & Purple Ombre Dyed Slip-On Sneakers,Clothes,Shoes,KazarMax,"A pair of round-toe pink & purple slip-on sneakers, has regular styling, slip-on detailMesh upper with ombre dyed effectCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Just Wow Women Blue Solid Flared Palazzos,,,Just Wow,A pair of Blue solid woven flared fit Palazzos and drawstring closure
Indian Terrain Men Khaki Slim Fit Solid Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Khaki solid smart casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Indian Terrain Men Blue & Red Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Blue and Red striped T-shirt, has a polo collar, and short sleeves"
Chkokko Men Orange Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Orange solid T-shirt, has a polo collar, short sleeves, and 1 pocket"
SG YUVRAJ Boys Yellow Solid Pathani Kurta with Pyjamas,Clothes,Clothes,SG YUVRAJ,"Yellow solid Pathanikurta with pyjamasYellow straight knee length kurta, has a shirt collar, long sleeves, curved hemYellow solid pyjamas, drawstring closure"
Indian Terrain Boys White & Navy Blue Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"White and navy blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Indian Terrain Boys Blue Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue printed casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
Annabelle by Pantaloons Orange Sheath Dress,Clothes,Clothes,Annabelle by Pantaloons,"Orange knitted panelled sheath dress, has a round neck, sleeveless"
Chkokko Men Charcoal Grey Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Charcoal grey solid T-shirt, has a round neck, and short sleeves"
Mast & Harbour Men Orange & Navy Blue Colourblocked Hooded Sweatshirt,Clothes,Clothes,Mast & Harbour,"Orange,Â navy blue and white colourblocked sweatshirt, has a hood, long sleeves, ribbed hem"
Indian Terrain Men Rust Orange Solid Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Rust Orange solid T-shirt, has a polo collar, and short sleeves"
Indian Terrain Men Brown Printed Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Brown printed T-shirt, has a polo collar, short sleeves, and 1 pocket"
justpeachy Bronze-Toned & Pink Meenakari Oxidised Dome Shaped Jhumkas,,,justpeachy,Bronze-Toned and Pink Dome Shaped Earrings Secured with a post and back
Indian Terrain Men Brown & Navy Blue Slim Fit Checked Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Brown, navy blue and white checked smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, 1 patch pocket"
Chkokko Men Navy Blue Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Navy blue solid T-shirt, has a polo collar, short sleeves, and one pocket"
Indian Terrain Men Light Khaki Brooklyn Slim Fit Self-Checked Regular Trousers,Clothes,Clothes,Indian Terrain,"Light Khaki self-checked mid-rise trousers, button closure, and 4 pockets"
Chkokko Men Maroon Solid V-Neck T-shirt,Clothes,Clothes,Chkokko,"Maroon solid T-shirt, has a V-neck, and short sleeves"
justpeachy Multicoloured Triangular Enamelled Studs,,,justpeachy,Multicoloured Triangular Earrings Secured with a post and back
Indian Terrain Men Khaki Kruger Skinny Fit Printed Chinos,Home,Decor,Indian Terrain,"Khaki printed low-rise chinos, button closure, 4 pockets"
DOROTHY PERKINS Women Silver & Rose-Gold Toned Leather One Toe Flats,Clothes,Shoes,DOROTHY PERKINS,"A pair of silver and rose gold-toned one-toe flats, has regular styling, buckle detailLeather upperCushioned footbedTextured and patterned outsole"
Indian Terrain Men Blue Brooklyn Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Clothes,Clothes,Indian Terrain,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a zip fly closure, and waistband with belt loops"
Ed Hardy Green Hooded Sweatshirt,Clothes,Clothes,Ed Hardy,"Green printedÂ knitted sweatshirt, has an attached hood with a drawstring fastening, long sleeves, a kangaroo pocket, has fleece lining"
Puma Men Navy Blue Trackracer IDP Running Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfortDesign Details:A pair of navy blue running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Chkokko Women Navy Blue Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Navy Blue solid T-shirt, has a round neck, and short sleeves"
Indian Terrain Boys Blue Regular Fit Mid-Rise Mildly Distressed Jeans,Clothes,Clothes,Indian Terrain,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops"
justpeachy Oxidised Silver-Toned & Black Dome Shaped Jhumkas,,,justpeachy,Silver-Toned and Black Dome Shaped Earrings and has artificial stones Secured with a post and back
justpeachy Rose Gold Dome Shaped Jhumkas,,,justpeachy,Rose Gold Dome Shaped Earrings and has artificial stones Secured with a post and back
Indian Terrain Men Blue Kruger Skinny Fit Self Design Chinos,Home,Decor,Indian Terrain,"Blue self-design low-rise trousers, button closure, and 5 pockets"
Mast & Harbour Women Red Regular Fit Solid Casual Shirt,Clothes,Clothes,Mast & Harbour,"Red with a tinge of Pinksolid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Indian Terrain Boys Red Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Red checked casual shirt, has a slim collar, long sleeves, button placket, and curved hem"
Indian Terrain Men Black Solid Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Black solid T-shirt, has a polo collar, short sleeves, and 1 pocket"
Indian Terrain Men Yellow Printed Round Neck T-shirt,Clothes,Clothes,Indian Terrain,"Yellow printed T-shirt, has a round neck, and short sleeves"
OOMPH Silver-Plated Contemporary Drop Earrings,Clothes,Jewelry,OOMPH,"Silver-Toned Contemporary Earrings, silver-plated, and has cubic zirconia Secured with a fish hook earwire"
Chkokko Men Black Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Black solid T-shirt, has a round neck, and long sleeves"
GAP Boys Logo Hoodie Sweatshirt,Clothes,Clothes,GAP,"Standout, specially designed graphics let you be youCozy fleeceLong sleeves with banded cuffsHooded necklineLogo graphic at front, crackle print looks well-loved & worn-in, like your fav teeKangaroo pocketBanded hem"
Indian Terrain Boys Blue Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 welt pocket"
Indian Terrain Men Blue Solid Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Blue solid T-shirt, has a polo collar, and short sleeves"
justpeachy Silver-Toned Oxidised Dome Shaped Jhumkas,,,justpeachy,Silver-Toned oxidised Dome Shaped EarringsSecured with a post and back
SG YUVRAJ Boys Yellow Solid Pathani Kurta with Pyjamas,Clothes,Clothes,SG YUVRAJ,"Yellow solid patahni kurta with salwarYellow solid pakistani style knee length kurta, has a shirt collar, long sleeves, curved hemYellow solid salwar, drawstring closure"
Puma Men Black NRGY Neko Knit SoftFoam+ Running Shoes,Clothes,Shoes,Puma,"Special Technology:NRGY: PUMA's foam midsole offers superior cushion from heel to toe so you can power through your runSoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your dayDesign Details:A pair of black running sports shoes, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Indian Terrain Boys Green Camouflage Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"Green printed casual shirt, has a spread collar, long sleeves, zip closure, curved hem, and 1 patch pocket"
Indian Terrain Men Olive Green Self-Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Olive green self-striped T-shirt, has a polo collar, and short sleeves"
justpeachy Silver-Toned Oxidised Geometric Oversized Studs,,,justpeachy,Silver-Toned oxidised Geometric oversized studsSecured with a post and back
Indian Terrain Men Grey Melange Solid Round Neck T-shirt,Clothes,Clothes,Indian Terrain,"Grey Melange solid T-shirt, has a round neck, and long sleeves"
KAMA AYURVEDA Sustainable Rejuvenating  Brightening Ayurvedic Night Cream 25g,,,KAMA AYURVEDA,Rejuvenating & Brightening Ayurvedic Night Cream
KazarMax Women Pink & White Printed Slip-On Sneakers,Clothes,Shoes,KazarMax,"A pair of round-toe pink & white printed slip-on sneakers, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Indian Terrain Boys Yellow Printed Sweatshirt,Clothes,Clothes,Indian Terrain,"Yellow printed sweatshirt, has a round neck, Long sleeves and ribbed hem"
KAMA AYURVEDA Sustainable Set of 3 Hair Care Regime,,,KAMA AYURVEDA,This Hair Care Regime consists ofÂ Bringadi Intensive Hair TreatmentRose and Jasmine Hair CleanserRose and Jasmine Hair Conditioner
Chkokko Men White Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"White solid T-shirt, has a round neck, and short sleeves"
Indian Terrain Boys Red & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Red and Blue checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Indian Terrain Men Blue Brooklyn Slim Fit Low-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Indian Terrain,"Blue dark wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
Indian Terrain Men Brown & Orange Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Brown and Orange striped T-shirt, has a polo collar, and short sleeves"
Indian Terrain Men White Slim Fit Solid Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"White solid smart casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Puma Unisex Black Rise XT NETFIT 2 Walking Shoes,Clothes,Shoes,Puma,"Special Technology:IGNITE foam insert in the heel area to maximize cushioningTorsional stability is provided by an embedded minimalistic SPEEDTRACK spineÂ Features:A pair of grey & blue walking sports shoes, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout PumaÂ Rise XT NETFIT 2:Rise above your opponent. Express your style. Follow your instinct. The new Rise XT NETFIT 2 is made for the fast and agile indoor athlete. - knitted upper features PUMA's innovative NETFIT technology for a customized fit"
Indian Terrain Boys Yellow & Red Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Yellow and Red checked casual shirt, has a hood, long sleeves, zip, and curved hem"
KAMA AYURVEDA Sustainable Women Essential Skin Care Regime,,,KAMA AYURVEDA,KAMA AYURVEDA Essential Skin Care Regime
KARATCART Green Gold-Plated Beaded Enamelled Floral Chandbalis,Clothes,Jewelry,KARATCART,"Green Floral chandbalis with enamelled detail, gold-plated, and has artificial stones and beadsSecured with a post and back closureWarranty: 1 monthWarranty provided by Brand Owner / Manufacturer"
Genius Kids Blue Mickey Mouse Print 14 inches Small Backpack,Clothes,Bags_Accessories,Genius,Blue backpack2 main compartments with zip closurePadded shoulder strap: Padded2 Stash PocketsWater-resistance: NoWarranty: 1 yearWarranty provided by manufacturer/brand owner
Roadster Women Mustard Yellow & Teal Blue Colourblocked Round Neck T-shirt,Clothes,Clothes,Roadster,"Pack of two T-shirtsMustard yellow striped T-shirt, has a round neck, and a short sleevesMustard yellow and teal blue colourblocked T-shirt, has a round neck, and short sleeves"
Jewels Galaxy Peach-Coloured & Beige Copper-Plated Beaded Jewellery Set,Clothes,Jewelry,Jewels Galaxy,"This jewellery set consists of a necklace, a pair of earrings and a braceletPeach-coloured and beige copper-plated beaded necklace, secured with a magnet closureA pair of matching drop earrings, secured with a fish hook earwire A matching bracelet, secured with a magnet closure"
Indian Terrain Men Mustard Brown Chiseled Regular Fit Solid Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Mustard Brown solid smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Calvin Klein Jeans Men Navy Blue Solid Laptop Backpack,Clothes,Clothes,Calvin Klein Jeans,"Navy blue solid laptop backpackNon-Padded haul loop1 main compartment with zip closureLightly Padded back2 internal pocket, 1 external pocketZip PocketPadded shoulder strap: Non-PaddedWater-resistance: NoWarranty: 6 monthsÂ Warranty provided by brand/manufacturer"
Indian Terrain Men Blue Brooklyn Regular Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Indian Terrain,"Blue light wash 5-pocket mid-rise jeans, clean look, heavy fade, has a zip fly closure, and waistband with belt loops"
Indian Terrain Men Green & Mustard Yellow Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Green and Mustard yellow striped T-shirt, has a polo collar, and short sleeves"
Indian Terrain Men Beige Brooklyn Slim Fit Solid Regular Trousers,Clothes,Clothes,Indian Terrain,"Beige solid low-rise trousers, button closure, and 5 pockets"
Indian Terrain Men Red & White Slim Fit Checked Semiformal Shirt,Clothes,Clothes,Indian Terrain,"Red and White checked semiformal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
GAP Boy's Plaid Long Sleeve Shirt,Clothes,Clothes,GAP,Smooth weaveLong sleeves with button cuffsSpread collarButton frontPatch pocket at chestCurved shirttail.Allover plaid
Indian Terrain Boys Black Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Black solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
LOCOMOTIVE Men Navy Blue Slim Fit Solid Casual Shirt,Clothes,Clothes,LOCOMOTIVE,"Navy Blue solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 patch pocket"
KARATCART Green Gold-Plated Stone-Studded Beaded Enamelled Crescent Shaped Chandbalis,Clothes,Jewelry,KARATCART,"Green crescent shaped chandbalis, gold-plated, and has artificial stones and beadsSecured with a post and backWarranty: 1 month against manufacturing defects"
HIGHLANDER Men Navy Blue Checked Polo Collar T-shirt,Clothes,Clothes,HIGHLANDER,"Navy Blue checked T-shirt, has a polo collar, and short sleeves"
Jewels Galaxy Gold-Plated Textured Geometric Drop Earrings,Clothes,Jewelry,Jewels Galaxy,Gold-plated textured geometric drop earringsSecured with a post and back closure
HIGHLANDER Men Maroon & Navy Blue Colourblocked Round Neck T-shirt,Clothes,Clothes,HIGHLANDER,"Maroon and Navy Blue colourblocked T-shirt, has a round neck, and short sleeves"
Libas Women Navy Blue & White Solid Kurta with Trousers & Dupatta,Clothes,Clothes,Libas,"Navy Blue and white solid kurta with trousers and dupattaNavy solid straight calf length kurta, has a round neck, short sleeves, side slitsWhite solid trousers, has partially elasticated waistband, slip-on closure, two pocketsWhite and navy printed dupatta, has tassels border"
KARATCART Peach-Coloured & Off-White Gold-Plated Stone-Studded Crescent Shaped Chandbalis,Clothes,Jewelry,KARATCART,Peach-coloured and off-white gold-plated stone-studded crescent shaped chandbalis with beaded detailSecured with a post and back closure
Indian Terrain Boys Charcoal Grey Regular Fit Solid Trousers,Clothes,Clothes,Indian Terrain,"CharcoalÂ Grey solid mid-rise trousers, button closure, and 5 pockets"
Indian Terrain Men Navy Blue Solid Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Navy Blue solid T-shirt, has a polo collar, short sleeves, and 1 pockets"
Indian Terrain Men Red & Navy Blue Chiseled Slim Fit Striped Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Red and navy blue striped semiformal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Indian Terrain Boys Green Regular Fit Solid Trousers,Clothes,Clothes,Indian Terrain,"Green solid mid-rise trousers, button closure, and 6 pockets"
Indian Terrain Men Brown & Black Brooklyn Slim Self Design Houndstooth Pattern Trousers,Clothes,Clothes,Indian Terrain,"Brown and Black self-design low-rise trousers, button closure, and 4 pockets"
Indian Terrain Boys Green Printed Pullover Sweater,Clothes,Clothes,Indian Terrain,"Green printed pullover sweater, has a round neck, long sleeves, and ribbed hem"
GAP Girls Blue Superdenim Flippy Sequin Jeans with Fantastiflex,Clothes,Clothes,GAP,"Super stretchy and super soft  for everyday-awesome, saving-the-world type of adventures.Premium 1969 denim, with high stretch.Light indigo wash with fading.Button at center front (sizes 4-8 have a hook & bar closure beneath faux snap for easy on and off), zip fly.Five-pocket styling.Flippy sequin patches at knees.You'll flip! Brush these sequins up to see something new."
Indian Terrain Men Navy Blue & Red Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Navy Blue and Red striped T-shirt, has a polo collar, and short sleeves"
Indian Terrain Boys Blue Printed Sweatshirt,Clothes,Clothes,Indian Terrain,"Blue printed sweatshirt, has a round neck, long sleeves, straight hem"
Indian Terrain Boys Green Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Green checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
MANGO Women Fluorescent Green & Brown Boxy Fit Striped Casual Shirt,Clothes,Clothes,MANGO,"Fluorescent green, brown and off-white striped casual boxy shirt, has a spread collar, three-quarter extended sleeves, full button placket and straight hem"
Mast & Harbour Men Orange Solid Hooded Sweatshirt,Clothes,Clothes,Mast & Harbour,"Orange solid sweatshirt, has a hood, two kangaroo pockets, long sleeves, zip closure, ribbed hem"
Club York Men White Printed Round Neck T-shirt,Clothes,Clothes,Club York,"White and blue printed T-shirt and has a round neck, long sleeves"
Puma Unisex Navy Blue  Turin II Training Shoes,Clothes,Shoes,Puma,"Puma Unisex Navy Blue Turin II Training Shoes:This classic and timeless PUMA Turin comes with a durable nylon upper and comfortable midsole. This silhouette will help you rock the streets and is perfect for casual, day-to-day usage.Special Technology:SoftFoam+sockliner: Flexible sock collar with cushioned foot bed provides easy optimal step-in comfortDetails:A pair of round-toe navy blue training shoes, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Chkokko Men Mustard Yellow Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Mustard yellow solid T-shirt, has a polo collar, and short sleeves"
Indian Terrain Men Navy Blue Self Design Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Navy Blue self-design T-shirt, has a polo collar, and short sleeves"
Indian Terrain Men Red & Navy Blue Slim Fit Striped Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Red and navy blue striped smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Indian Terrain Boys Red Regular Fit Printed Pure Cotton Casual Shirt,Clothes,Clothes,Indian Terrain,"Red printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Puma Men White Solid Leader VT Bold Running Shoes,Clothes,Shoes,Puma,"Design details:A pair of round-toe white running shoes, has regular styling, lace-up detailTextile upperThe upper features progressive design language with valuable synthetic overlays to add depth and value.The tooling features a TPU shank while the outsole has full rubber coverage.Cushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by Brand Owner / Manufacturer"
KARATCART Red Gold-Plated Beaded Floral Chandbalis,Clothes,Jewelry,KARATCART,"Red Floral chandbalis with enamelled detail, gold-plated, and has artificial stones and beadsSecured with a post and back closureWarranty: 1 monthWarranty provided by Brand Owner / Manufacturer"
bigbanana Plus Size Men Black Solid Polo Collar T-shirt,Clothes,Clothes,bigbanana,"Black solid T-shirt, has a polo collar, and short sleeves"
Puma Unisex Navy Blue Solid Training or Gym Shoes,Clothes,Shoes,Puma,"Design details:A pair of navy blue training or gym shoes, has regular styling, lace up detailMesh upper with suede overlaysSynthetic leather toe overlayPUMA Formstrip leather overlaySoftFoam+sockliner for extra comfortTPU midsole heel for supportRubber outsole for tractionPUMA Cat Logo on tongue and rubber toe stopperWarranty: 3 monthsWarranty provided by brand/manufacturer"
Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Self Design Smart Casual Trousers,Clothes,Clothes,Indian Terrain,"Charcoal grey self-design low-rise smart casual regular trousers, button closure, and 5 pocketsDisclaimer:Our stylist has styled this pair of trousers with a belt. It does not come with a belt."
Indian Terrain Boys Green & Black Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Green and Black checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Kazo Women Navy Blue Solid Skinny-Fit Jeggings,,,Kazo,"Navy blue solid skinny-fit jeggings, has an elasticated waistband."
Libas Women Blue & Orange Printed Kurta with Trousers,Clothes,Clothes,Libas,"Blue and orange printed kurta with trousersBlue and orange printed A-line calf length kurta, has a mandarin collar, short sleeves, flared hem, front slitBlue and orange printed trousers, has partially elasticated waistband, slip-on closure, two pockets"
Indian Terrain Boys Blue & White Regular Fit Checked Cotton Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue, white & yellow checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 welt pocket"
KazarMax Women Grey Shimmery Slip-On Sneakers,Clothes,Shoes,KazarMax,"A pair of round-toe grey slip-on sneakers, has regular styling, slip-on detailMesh upper with woven design and shimmer detailCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Indian Terrain Boys Pink Regular Fit Checked Pure Cotton Reversible Casual Shirt,Clothes,Clothes,Indian Terrain,"Pink and navy blue reversible checked casual shirt, has a spread collar, long sleeves, snap button placket, curved hemPink reversible solid casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 1 flap pocket"
Jewels Galaxy Gunmetal-Toned Gold-Plated Stone-Studded Circular Drop Earrings,Clothes,Jewelry,Jewels Galaxy,"Gunmetal-toned gold-plated circular drop earrings, has artificial stonesSecured with a post and back closure"
Chkokko Men Coral Orange Solid V-Neck T-shirt,Clothes,Clothes,Chkokko,"Coral orange solid T-shirt, has a V-neck, and short sleeves"
Indian Terrain Boys Black Printed Sweatshirt,Clothes,Clothes,Indian Terrain,"Black PrintedÂ sweater, has a round neck, long sleeves, and ribbed hem"
KazarMax Women Sea Green Printed Slip-On Sneakers,Clothes,Shoes,KazarMax,"A pair of round-toe sea green printed slip-on sneakers, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Indian Terrain Boys Red Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"Red printed casual shirt, has a mandarin collar, long sleeves, button placket, and curved hem"
Duke Men Blue Solid Polo Collar T-shirt,Clothes,Clothes,Duke,"Blue solid T-shirt, has a polo collar, and short sleeves"
GAP Boys Graphic Long Sleeve T-shirt,Clothes,Clothes,GAP,Soft knitLong sleevesRibbing at crewneckAssorted graphics at front
HIGHLANDER Men Blue Solid Denim Jacket,Clothes,Clothes,HIGHLANDER,"Blue solid jacket, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, and unlined"
Chkokko Men Navy Blue Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Navy Blue solid T-shirt with melange effect, has a round neck, and short sleeves"
Indian Terrain Boys Orange Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Orange solid casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
ROMEE Multicoloured Geometric 144 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,Home,Decor,ROMEE,Set content: 1 Queen bedsheet with 2 pillow coversQuality: RegularThread count: 144Colour: MulticolouredPattern: Geometric
Indian Terrain Men Blue & White Slim Fit Checked Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue and White checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Kenneth Cole Men Black Leather Formal Brogues,,,Kenneth Cole,"A pair of brown round-toed formal brogues, has central lace-upsLeather upper, has perforationsCushioned footbedTextured rubber outsole, has a stacked heelWarranty: 1 year against manufacturing defectsWarranty provided by brand/manufacturer"
Indian Terrain Boys Orange Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Orange solid casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 pocket"
Chkokko Men Black Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Black solid T-shirt, has a round neck, and short sleeves"
Kenneth Cole Men Brown Leather Formal Brogues,,,Kenneth Cole,"A pair of black round-toed formal brogues, has central lace-upsLeather upper, has perforationsCushioned footbedTextured rubber outsole, has a stacked heelWarranty: 1 year against manufacturing defectsWarranty provided by brand/manufacturer"
Indian Terrain Men Green Solid Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Green solid T-shirt, has a polo collar, and short sleeves"
Puma Unisex Navy Blue Vista Suede Sneakers,Clothes,Shoes,Puma,"Special Technology:SoftFoam + sockliner: Sock structure for flexible fit and long-lasting comfortProduct Design Details:A pair of round-toe navy blue sneakers, has regular styling, lace-up detailMesh upper with suede and synthetic leather overlaysOpen-air mesh heel pieceComfortable slip-on sock structure with lace closureEVA midsole for cushioning and comfortRubber outsole for better traction and gripSynthetic leather PUMA Formstrip on lateral sidePUMA branding on tongueWarranty: 3 monthsWarranty provided by brand/manufacturer"
Knotyy Pack of 2 Unisex Black Self Design Beanie,Clothes,Clothes,Knotyy,Pack of 2 beanieBlack solid beanieBlack self-design beanie
Indian Terrain Men Blue Solid Henley Neck T-shirt,Clothes,Clothes,Indian Terrain,"Blue solid T-shirt, has a Henley neck, and long sleeves"
Roadster Women Burgundy Printed Round Neck T-shirt,Clothes,Clothes,Roadster,"Burgundy printed T-shirt, has a round neck, and long sleeves"
Indian Terrain Boys White & Pink Regular Fit Striped Casual Shirt,Clothes,Clothes,Indian Terrain,"White and Pink striped casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
Indian Terrain Men Black Printed Round Neck T-shirt,Clothes,Clothes,Indian Terrain,"Black printed T-shirt, has a round neck, and short sleeves"
